id,region_name,region_classification,type
1,Kerala,Administrative,State
2,Thiruvananthapuram,Administrative,District
3,Kollam,Administrative,District
4,Pathanamthitta,Administrative,District
5,Alappuzha,Administrative,District
6,Kottayam,Administrative,District
7,Idukki,Administrative,District
8,Ernakulam,Administrative,District
9,Thrissur,Administrative,District
10,Palakkad,Administrative,District
11,Malappuram,Administrative,District
12,Kozhikode,Administrative,District
13,Wayanad,Administrative,District
14,Kannur,Administrative,District
15,Kasaragod,Administrative,District
